"DATE","TAVG"
"2020-07-17",70
"2020-07-18",71
"2020-07-19",69
"2020-07-20",68
"2020-07-21",69
"2020-07-22",67
"2020-07-23",67
"2020-07-24",67
"2020-07-25",69
"2020-07-26",68
"2020-07-27",69
"2020-07-28",67
"2020-07-29",69
"2020-07-30",68
"2020-07-31",73
"2020-08-01",71
"2020-08-02",69
"2020-08-03",69
"2020-08-04",69
"2020-08-05",69
"2020-08-06",69
"2020-08-07",69
"2020-08-08",70
"2020-08-09",69
"2020-08-10",69
"2020-08-11",68
"2020-08-12",70
"2020-08-13",77
"2020-08-14",79
"2020-08-15",80
"2020-08-16",76
"2020-08-17",75
"2020-08-18",80
"2020-08-19",79
"2020-08-20",80
"2020-08-21",78
"2020-08-22",80
"2020-08-23",80
"2020-08-24",77
"2020-08-25",75
"2020-08-26",75
"2020-08-27",76
"2020-08-28",73
"2020-08-29",69
"2020-08-30",69
"2020-08-31",69
"2020-09-01",69
"2020-09-02",70
"2020-09-03",70
"2020-09-04",73
"2020-09-05",79
"2020-09-06",86
"2020-09-07",77
"2020-09-08",72
"2020-09-09",74
"2020-09-10",70
"2020-09-11",70
"2020-09-12",71
"2020-09-13",69
"2020-09-14",70
"2020-09-15",73
"2020-09-16",75
"2020-09-17",75
"2020-09-18",75
"2020-09-19",76
"2020-09-20",70
"2020-09-21",69
"2020-09-22",71
"2020-09-23",71
"2020-09-24",71
"2020-09-25",70
"2020-09-26",70
"2020-09-27",70
"2020-09-28",72
"2020-09-29",73
"2020-09-30",79
"2020-10-01",80
"2020-10-02",78
"2020-10-03",76
"2020-10-04",74
"2020-10-05",77
"2020-10-06",72
"2020-10-07",70
"2020-10-08",69
"2020-10-09",69
"2020-10-10",69
"2020-10-11",68
"2020-10-12",72
"2020-10-13",75
"2020-10-14",75
"2020-10-15",76
"2020-10-16",74
"2020-10-17",72
"2020-10-18",71
"2020-10-19",70
"2020-10-20",68
"2020-10-21",67
"2020-10-22",69
"2020-10-23",68
"2020-10-24",67
"2020-10-25",65
"2020-10-26",63
"2020-10-27",63
"2020-10-28",64
"2020-10-29",64
"2020-10-30",65
"2020-10-31",64
"2020-11-01",67
"2020-11-02",65
"2020-11-03",64
"2020-11-04",65
"2020-11-05",70
"2020-11-06",69
"2020-11-07",59
"2020-11-08",57
"2020-11-09",54
"2020-11-10",54
"2020-11-11",55
"2020-11-12",57
"2020-11-13",56
"2020-11-14",58
"2020-11-15",63
"2020-11-16",70
"2020-11-17",64
"2020-11-18",60
"2020-11-19",63
"2020-11-20",59
"2020-11-21",61
"2020-11-22",58
"2020-11-23",57
"2020-11-24",58
"2020-11-25",57
"2020-11-26",58
"2020-11-27",60
"2020-11-28",58
"2020-11-29",59
"2020-11-30",60
"2020-12-01",57
"2020-12-02",57
"2020-12-03",65
"2020-12-04",59
"2020-12-05",55
"2020-12-06",55
"2020-12-07",55
"2020-12-08",70
"2020-12-09",65
"2020-12-10",57
"2020-12-11",54
"2020-12-12",54
"2020-12-13",58
"2020-12-14",60
"2020-12-15",56
"2020-12-16",56
"2020-12-17",56
"2020-12-18",55
"2020-12-19",57
"2020-12-20",59
"2020-12-21",62
"2020-12-22",58
"2020-12-23",56
"2020-12-24",62
"2020-12-25",60
"2020-12-26",56
"2020-12-27",57
"2020-12-28",54
"2020-12-29",49
"2020-12-30",52
"2020-12-31",53
"2021-01-01",56
"2021-01-02",54
"2021-01-03",54
"2021-01-04",54
"2021-01-05",56
"2021-01-06",55
"2021-01-07",55
"2021-01-08",54
"2021-01-09",54
"2021-01-10",58
"2021-01-11",58
"2021-01-12",57
"2021-01-13",57
"2021-01-14",60
"2021-01-15",66
"2021-01-16",65
"2021-01-17",66
"2021-01-18",62
"2021-01-19",58
"2021-01-20",67
"2021-01-21",62
"2021-01-22",58
"2021-01-23",53
"2021-01-24",49
"2021-01-25",53
"2021-01-26",47
"2021-01-27",51
"2021-01-28",53
"2021-01-29",53
"2021-01-30",50
"2021-01-31",55
"2021-02-01",61
"2021-02-02",60
"2021-02-03",55
"2021-02-04",57
"2021-02-05",57
"2021-02-06",56
"2021-02-07",56
"2021-02-08",54
"2021-02-09",55
"2021-02-10",56
"2021-02-11",55
"2021-02-12",58
"2021-02-13",56
"2021-02-14",60
"2021-02-15",56
"2021-02-16",58
"2021-02-17",56
"2021-02-18",59
"2021-02-19",57
"2021-02-20",57
"2021-02-21",59
"2021-02-22",62
"2021-02-23",62
"2021-02-24",60
"2021-02-25",60
"2021-02-26",59
"2021-02-27",57
"2021-02-28",60
"2021-03-01",61
"2021-03-02",59
"2021-03-03",54
"2021-03-04",53
"2021-03-05",59
"2021-03-06",58
"2021-03-07",56
"2021-03-08",58
"2021-03-09",56
"2021-03-10",54
"2021-03-11",51
"2021-03-12",51
"2021-03-13",53
"2021-03-14",56
"2021-03-15",54
"2021-03-16",51
"2021-03-17",53
"2021-03-18",56
"2021-03-19",57
"2021-03-20",59
"2021-03-21",57
"2021-03-22",57
"2021-03-23",58
"2021-03-24",60
"2021-03-25",58
"2021-03-26",55
"2021-03-27",59
"2021-03-28",65
"2021-03-29",63
"2021-03-30",61
"2021-03-31",66
"2021-04-01",74
"2021-04-02",64
"2021-04-03",60
"2021-04-04",61
"2021-04-05",61
"2021-04-06",61
"2021-04-07",63
"2021-04-08",63
"2021-04-09",62
"2021-04-10",63
"2021-04-11",62
"2021-04-12",60
"2021-04-13",60
"2021-04-14",59
"2021-04-15",57
"2021-04-16",59
"2021-04-17",62
"2021-04-18",67
"2021-04-19",69
"2021-04-20",63
"2021-04-21",60
"2021-04-22",60
"2021-04-23",60
"2021-04-24",60
"2021-04-25",60
"2021-04-26",60
"2021-04-27",58
"2021-04-28",62
"2021-04-29",70
"2021-04-30",72
"2021-05-01",65
"2021-05-02",62
"2021-05-03",64
"2021-05-04",65
"2021-05-05",66
"2021-05-06",64
"2021-05-07",62
"2021-05-08",64
"2021-05-09",63
"2021-05-10",63
"2021-05-11",63
"2021-05-12",66
"2021-05-13",63
"2021-05-14",64
"2021-05-15",63
"2021-05-16",62
"2021-05-17",62
"2021-05-18",63
"2021-05-19",65
"2021-05-20",64
"2021-05-21",63
"2021-05-22",60
"2021-05-23",62
"2021-05-24",68
"2021-05-25",69
"2021-05-26",65
"2021-05-27",63
"2021-05-28",64
"2021-05-29",63
"2021-05-30",63
"2021-05-31",63
"2021-06-01",65
"2021-06-02",65
"2021-06-03",64
"2021-06-04",63
"2021-06-05",63
"2021-06-06",65
"2021-06-07",62
"2021-06-08",64
"2021-06-09",67
"2021-06-10",65
"2021-06-11",67
"2021-06-12",69
"2021-06-13",70
"2021-06-14",72
"2021-06-15",75
"2021-06-16",71
"2021-06-17",66
"2021-06-18",66
"2021-06-19",67
"2021-06-20",67
"2021-06-21",67
"2021-06-22",67
"2021-06-23",69
"2021-06-24",67
"2021-06-25",67
"2021-06-26",69
"2021-06-27",68
"2021-06-28",67
"2021-06-29",66
"2021-06-30",66
"2021-07-01",69
"2021-07-02",70
"2021-07-03",70
"2021-07-04",69
"2021-07-05",67
"2021-07-06",68
"2021-07-07",69
"2021-07-08",69
"2021-07-09",72
"2021-07-10",74
"2021-07-11",71
"2021-07-12",69
"2021-07-13",72
"2021-07-14",72
"2021-07-15",72
"2021-07-16",73
"2021-07-17",73
"2021-07-18",75
"2021-07-19",76
"2021-07-20",76
"2021-07-21",74
"2021-07-22",73
"2021-07-23",71
"2021-07-24",71
"2021-07-25",71
"2021-07-26",71
"2021-07-27",71
"2021-07-28",72
"2021-07-29",73
"2021-07-30",72
"2021-07-31",71
"2021-08-01",72
"2021-08-02",74
"2021-08-03",74
"2021-08-04",73
"2021-08-05",72
"2021-08-06",70
"2021-08-07",68
"2021-08-08",69
"2021-08-09",72
"2021-08-10",71
"2021-08-11",75
"2021-08-12",76
"2021-08-13",74
"2021-08-14",74
"2021-08-15",73
"2021-08-16",74
"2021-08-17",72
"2021-08-18",72
"2021-08-19",72
"2021-08-20",72
"2021-08-21",70
"2021-08-22",70
"2021-08-23",69
"2021-08-24",70
"2021-08-25",71
"2021-08-26",75
"2021-08-27",74
"2021-08-28",71
"2021-08-29",70
"2021-08-30",70
"2021-08-31",69
"2021-09-01",70
"2021-09-02",70
"2021-09-03",70
"2021-09-04",72
"2021-09-05",76
"2021-09-06",73
"2021-09-07",72
"2021-09-08",72
"2021-09-09",73
"2021-09-10",74
"2021-09-11",76
"2021-09-12",74
"2021-09-13",69
"2021-09-14",67
"2021-09-15",67
"2021-09-16",66
"2021-09-17",66
"2021-09-18",67
"2021-09-19",65
"2021-09-20",67
"2021-09-21",74
"2021-09-22",77
"2021-09-23",72
"2021-09-24",66
"2021-09-25",69
"2021-09-26",66
"2021-09-27",65
"2021-09-28",67
"2021-09-29",67
"2021-09-30",71
"2021-10-01",72
"2021-10-02",74
"2021-10-03",74
"2021-10-04",76
"2021-10-05",71
"2021-10-06",68
"2021-10-07",66
"2021-10-08",66
"2021-10-09",63
"2021-10-10",65
"2021-10-11",64
"2021-10-12",65
"2021-10-13",62
"2021-10-14",62
"2021-10-15",69
"2021-10-16",73
"2021-10-17",67
"2021-10-18",63
"2021-10-19",59
"2021-10-20",61
"2021-10-21",62
"2021-10-22",62
"2021-10-23",63
"2021-10-24",62
"2021-10-25",62
"2021-10-26",58
"2021-10-27",64
"2021-10-28",71
"2021-10-29",70
"2021-10-30",63
"2021-10-31",62
"2021-11-01",60
"2021-11-02",60
"2021-11-03",62
"2021-11-04",61
"2021-11-05",59
"2021-11-06",60
"2021-11-07",59
"2021-11-08",60
"2021-11-09",61
"2021-11-10",63
"2021-11-11",68
"2021-11-12",74
"2021-11-13",74
"2021-11-14",69
"2021-11-15",67
"2021-11-16",59
"2021-11-17",60
"2021-11-18",59
"2021-11-19",60
"2021-11-20",59
"2021-11-21",63
"2021-11-22",70
"2021-11-23",67
"2021-11-24",61
"2021-11-25",66
"2021-11-26",64
"2021-11-27",60
"2021-11-28",61
"2021-11-29",60
"2021-11-30",59
"2021-12-01",57
"2021-12-02",55
"2021-12-03",57
"2021-12-04",57
"2021-12-05",55
"2021-12-06",54
"2021-12-07",60
"2021-12-08",57
"2021-12-09",58
"2021-12-10",54
"2021-12-11",54
"2021-12-12",53
"2021-12-13",53
"2021-12-14",57
"2021-12-15",47
"2021-12-16",49
"2021-12-17",55
"2021-12-18",54
"2021-12-19",51
"2021-12-20",51
"2021-12-21",56
"2021-12-22",55
"2021-12-23",58
"2021-12-24",56
"2021-12-25",54
"2021-12-26",54
"2021-12-27",50
"2021-12-28",53
"2021-12-29",49
"2021-12-30",54
"2021-12-31",53
"2022-01-01",53
"2022-01-02",52
"2022-01-03",51
"2022-01-04",51
"2022-01-05",53
"2022-01-06",54
"2022-01-07",53
"2022-01-08",55
"2022-01-09",56
"2022-01-10",59
"2022-01-11",62
"2022-01-12",62
"2022-01-13",61
"2022-01-14",62
"2022-01-15",60
"2022-01-16",64
"2022-01-17",61
"2022-01-18",60
"2022-01-19",57
"2022-01-20",58
"2022-01-21",57
"2022-01-22",63
"2022-01-23",60
"2022-01-24",58
"2022-01-25",55
"2022-01-26",55
"2022-01-27",58
"2022-01-28",58
"2022-01-29",59
"2022-01-30",55
"2022-01-31",53
"2022-02-01",56
"2022-02-02",55
"2022-02-03",54
"2022-02-04",56
"2022-02-05",57
"2022-02-06",57
"2022-02-07",62
"2022-02-08",62
"2022-02-09",65
"2022-02-10",70
"2022-02-11",67
"2022-02-12",67
"2022-02-13",69
"2022-02-14",63
"2022-02-15",58
"2022-02-16",51
"2022-02-17",57
"2022-02-18",58
"2022-02-19",59
"2022-02-20",56
"2022-02-21",57
"2022-02-22",56
"2022-02-23",52
"2022-02-24",50
"2022-02-25",52
"2022-02-26",55
"2022-02-27",59
"2022-02-28",62
"2022-03-01",66
"2022-03-02",64
"2022-03-03",59
"2022-03-04",58
"2022-03-05",56
"2022-03-06",53
"2022-03-07",56
"2022-03-08",58
"2022-03-09",57
"2022-03-10",58
"2022-03-11",60
"2022-03-12",61
"2022-03-13",60
"2022-03-14",61
"2022-03-15",61
"2022-03-16",62
"2022-03-17",66
"2022-03-18",64
"2022-03-19",61
"2022-03-20",61
"2022-03-21",61
"2022-03-22",65
"2022-03-23",70
"2022-03-24",71
"2022-03-25",63
"2022-03-26",60
"2022-03-27",60
"2022-03-28",59
"2022-03-29",58
"2022-03-30",60
"2022-03-31",60
"2022-04-01",61
"2022-04-02",60
"2022-04-03",61
"2022-04-04",60
"2022-04-05",61
"2022-04-06",67
"2022-04-07",74
"2022-04-08",82
"2022-04-09",73
"2022-04-10",64
"2022-04-11",63
"2022-04-12",60
"2022-04-13",60
"2022-04-14",60
"2022-04-15",61
"2022-04-16",62
"2022-04-17",62
"2022-04-18",62
"2022-04-19",65
"2022-04-20",62
"2022-04-21",60
"2022-04-22",61
"2022-04-23",60
"2022-04-24",69
"2022-04-25",72
"2022-04-26",67
"2022-04-27",63
"2022-04-28",61
"2022-04-29",61
"2022-04-30",64
"2022-05-01",64
"2022-05-02",63
"2022-05-03",63
"2022-05-04",64
"2022-05-05",66
"2022-05-06",62
"2022-05-07",65
"2022-05-08",63
"2022-05-09",61
"2022-05-10",60
"2022-05-11",60
"2022-05-12",64
"2022-05-13",69
"2022-05-14",73
"2022-05-15",71
"2022-05-16",65
"2022-05-17",63
"2022-05-18",63
"2022-05-19",62
"2022-05-20",61
"2022-05-21",64
"2022-05-22",64
"2022-05-23",61
"2022-05-24",62
"2022-05-25",64
"2022-05-26",64
"2022-05-27",65
"2022-05-28",64
"2022-05-29",64
"2022-05-30",65
"2022-05-31",65
"2022-06-01",67
"2022-06-02",65
"2022-06-03",64
"2022-06-04",65
"2022-06-05",66
"2022-06-06",68
"2022-06-07",68
"2022-06-08",68
"2022-06-09",67
"2022-06-10",67
"2022-06-11",70
"2022-06-12",68
"2022-06-13",68
"2022-06-14",69
"2022-06-15",69
"2022-06-16",68
"2022-06-17",69
"2022-06-18",68
"2022-06-19",69
"2022-06-20",74
"2022-06-21",72
"2022-06-22",71
"2022-06-23",73
"2022-06-24",73
"2022-06-25",70
"2022-06-26",70
"2022-06-27",72
"2022-06-28",74
"2022-06-29",72
"2022-06-30",72
"2022-07-01",71
"2022-07-02",71
"2022-07-03",69
"2022-07-04",69
"2022-07-05",70
"2022-07-06",70
"2022-07-07",71
"2022-07-08",70
"2022-07-09",70
"2022-07-10",70
"2022-07-11",70
"2022-07-12",67
"2022-07-13",69
"2022-07-14",68
"2022-07-15",70
"2022-07-16",71
"2022-07-17",71
"2022-07-18",73
"2022-07-19",76
"2022-07-20",75
"2022-07-21",73
"2022-07-22",71
"2022-07-23",71
"2022-07-24",71
"2022-07-25",71
"2022-07-26",72
"2022-07-27",70
"2022-07-28",70
"2022-07-29",72
"2022-07-30",72
"2022-07-31",74
"2022-08-01",78
"2022-08-02",76
"2022-08-03",74
"2022-08-04",74
"2022-08-05",76
"2022-08-06",75
"2022-08-07",76
"2022-08-08",75
"2022-08-09",78
"2022-08-10",80
"2022-08-11",79
"2022-08-12",76
"2022-08-13",77
"2022-08-14",77
"2022-08-15",76
"2022-08-16",76
"2022-08-17",77
"2022-08-18",74
"2022-08-19",71
"2022-08-20",72
"2022-08-21",71
"2022-08-22",73
"2022-08-23",72
"2022-08-24",73
"2022-08-25",74
"2022-08-26",75
"2022-08-27",74
"2022-08-28",74
"2022-08-29",73
"2022-08-30",74
"2022-08-31",79
"2022-09-01",80
"2022-09-02",79
"2022-09-03",83
"2022-09-04",87
"2022-09-05",80
"2022-09-06",82
"2022-09-07",84
"2022-09-08",83
"2022-09-09",88
"2022-09-10",76
"2022-09-11",79
"2022-09-12",81
"2022-09-13",77
"2022-09-14",74
"2022-09-15",73
"2022-09-16",72
"2022-09-17",72
"2022-09-18",72
"2022-09-19",71
"2022-09-20",74
"2022-09-21",73
"2022-09-22",73
"2022-09-23",75
"2022-09-24",78
"2022-09-25",77
"2022-09-26",77
"2022-09-27",77
"2022-09-28",76
"2022-09-29",74
"2022-09-30",72
"2022-10-01",70
"2022-10-02",71
"2022-10-03",71
"2022-10-04",72
"2022-10-05",73
"2022-10-06",71
"2022-10-07",72
"2022-10-08",72
"2022-10-09",71
"2022-10-10",70
"2022-10-11",71
"2022-10-12",71
"2022-10-13",69
"2022-10-14",68
"2022-10-15",69
"2022-10-16",68
"2022-10-17",69
"2022-10-18",74
"2022-10-19",78
"2022-10-20",80
"2022-10-21",71
"2022-10-22",69
"2022-10-23",66
"2022-10-24",67
"2022-10-25",66
"2022-10-26",65
"2022-10-27",66
"2022-10-28",66
"2022-10-29",66
"2022-10-30",66
"2022-10-31",66
"2022-11-01",67
"2022-11-02",65
"2022-11-03",61
"2022-11-04",59
"2022-11-05",60
"2022-11-06",61
"2022-11-07",63
"2022-11-08",62
"2022-11-09",58
"2022-11-10",58
"2022-11-11",59
"2022-11-12",59
"2022-11-13",59
"2022-11-14",59
"2022-11-15",60
"2022-11-16",62
"2022-11-17",63
"2022-11-18",59
"2022-11-19",61
"2022-11-20",63
"2022-11-21",63
"2022-11-22",61
"2022-11-23",58
"2022-11-24",60
"2022-11-25",65
"2022-11-26",59
"2022-11-27",58
"2022-11-28",60
"2022-11-29",59
"2022-11-30",58
"2022-12-01",59
"2022-12-02",58
"2022-12-03",61
"2022-12-04",61
"2022-12-05",61
"2022-12-06",57
"2022-12-07",56
"2022-12-08",54
"2022-12-09",53
"2022-12-10",55
"2022-12-11",60
"2022-12-12",52
"2022-12-13",52
"2022-12-14",53
"2022-12-15",54
"2022-12-16",58
"2022-12-17",58
"2022-12-18",55
"2022-12-19",53
"2022-12-20",55
"2022-12-21",56
"2022-12-22",58
"2022-12-23",56
"2022-12-24",58
"2022-12-25",64
"2022-12-26",64
"2022-12-27",60
"2022-12-28",59
"2022-12-29",58
"2022-12-30",59
"2022-12-31",60
"2023-01-01",59
"2023-01-02",54
"2023-01-03",55
"2023-01-04",59
"2023-01-05",60
"2023-01-06",56
"2023-01-07",56
"2023-01-08",57
"2023-01-09",60
"2023-01-10",61
"2023-01-11",55
"2023-01-12",58
"2023-01-13",59
"2023-01-14",56
"2023-01-15",59
"2023-01-16",57
"2023-01-17",55
"2023-01-18",53
"2023-01-19",53
"2023-01-20",53
"2023-01-21",53
"2023-01-22",52
"2023-01-23",53
"2023-01-24",54
"2023-01-25",56
"2023-01-26",61
"2023-01-27",57
"2023-01-28",55
"2023-01-29",56
"2023-01-30",54
"2023-01-31",54
"2023-02-01",55
"2023-02-02",55
"2023-02-03",60
"2023-02-04",58
"2023-02-05",59
"2023-02-06",58
"2023-02-07",59
"2023-02-08",60
"2023-02-09",62
"2023-02-10",66
"2023-02-11",60
"2023-02-12",54
"2023-02-13",55
"2023-02-14",58
"2023-02-15",54
"2023-02-16",54
"2023-02-17",56
"2023-02-18",58
"2023-02-19",55
"2023-02-20",59
"2023-02-21",59
"2023-02-22",55
"2023-02-23",51
"2023-02-24",52
"2023-02-25",53
"2023-02-26",48
"2023-02-27",53
"2023-02-28",55
"2023-03-01",55
"2023-03-02",52
"2023-03-03",53
"2023-03-04",54
"2023-03-05",56
"2023-03-06",57
"2023-03-07",56
"2023-03-08",55
"2023-03-09",58
"2023-03-10",59
"2023-03-11",61
"2023-03-12",62
"2023-03-13",62
"2023-03-14",61
"2023-03-15",62
"2023-03-16",59
"2023-03-17",59
"2023-03-18",63
"2023-03-19",64
"2023-03-20",59
"2023-03-21",58
"2023-03-22",56
"2023-03-23",57
"2023-03-24",60
"2023-03-25",58
"2023-03-26",59
"2023-03-27",61
"2023-03-28",64
"2023-03-29",60
"2023-03-30",56
"2023-03-31",57
"2023-04-01",61
"2023-04-02",61
"2023-04-03",61
"2023-04-04",59
"2023-04-05",59
"2023-04-06",63
"2023-04-07",63
"2023-04-08",62
"2023-04-09",62
"2023-04-10",61
"2023-04-11",60
"2023-04-12",60
"2023-04-13",56
"2023-04-14",57
"2023-04-15",59
"2023-04-16",58
"2023-04-17",58
"2023-04-18",60
"2023-04-19",58
"2023-04-20",63
"2023-04-21",70
"2023-04-22",70
"2023-04-23",65
"2023-04-24",61
"2023-04-25",62
"2023-04-26",63
"2023-04-27",60
"2023-04-28",61
"2023-04-29",61
"2023-04-30",58
"2023-05-01",59
"2023-05-02",59
"2023-05-03",58
"2023-05-04",58
"2023-05-05",59
"2023-05-06",59
"2023-05-07",61
"2023-05-08",61
"2023-05-09",62
"2023-05-10",60
"2023-05-11",61
"2023-05-12",62
"2023-05-13",63
"2023-05-14",62
"2023-05-15",62
"2023-05-16",64
"2023-05-17",62
"2023-05-18",62
"2023-05-19",62
"2023-05-20",65
"2023-05-21",65
"2023-05-22",63
"2023-05-23",63
"2023-05-24",62
"2023-05-25",63
"2023-05-26",62
"2023-05-27",62
"2023-05-28",63
"2023-05-29",64
"2023-05-30",63
"2023-05-31",62
"2023-06-01",62
"2023-06-02",65
"2023-06-03",64
"2023-06-04",64
"2023-06-05",63
"2023-06-06",63
"2023-06-07",63
"2023-06-08",65
"2023-06-09",64
"2023-06-10",64
"2023-06-11",64
"2023-06-12",65
"2023-06-13",65
"2023-06-14",64
"2023-06-15",64
"2023-06-16",67
"2023-06-17",68
"2023-06-18",65
"2023-06-19",65
"2023-06-20",68
"2023-06-21",67
"2023-06-22",66
"2023-06-23",65
"2023-06-24",65
"2023-06-25",66
"2023-06-26",65
"2023-06-27",66
"2023-06-28",66
"2023-06-29",66
"2023-06-30",67
"2023-07-01",68
"2023-07-02",67
"2023-07-03",66
"2023-07-04",66
"2023-07-05",67
"2023-07-06",66
"2023-07-07",67
"2023-07-08",68
"2023-07-09",67
"2023-07-10",69
"2023-07-11",72
"2023-07-12",75
"2023-07-13",76
"2023-07-14",74
"2023-07-15",72
"2023-07-16",71
"2023-07-17",73
"2023-07-18",76
"2023-07-19",76
"2023-07-20",77
"2023-07-21",73
"2023-07-22",70
"2023-07-23",72
"2023-07-24",82
"2023-07-25",75
"2023-07-26",79
"2023-07-27",78
"2023-07-28",74
"2023-07-29",74
"2023-07-30",74
"2023-07-31",78
"2023-08-01",77
"2023-08-02",76
"2023-08-03",73
"2023-08-04",73
"2023-08-05",74
"2023-08-06",74
"2023-08-07",71
"2023-08-08",72
"2023-08-09",74
"2023-08-10",72
"2023-08-11",73
"2023-08-12",73
"2023-08-13",73
"2023-08-14",74
"2023-08-15",73
"2023-08-16",76
"2023-08-17",74
"2023-08-18",72
"2023-08-19",71
"2023-08-20",74
"2023-08-21",71
"2023-08-22",74
"2023-08-23",74
"2023-08-24",72
"2023-08-25",71
"2023-08-26",74
"2023-08-27",76
"2023-08-28",78
"2023-08-29",80
"2023-08-30",78
"2023-08-31",73
"2023-09-01",72
"2023-09-02",72
"2023-09-03",75
"2023-09-04",71
"2023-09-05",71
"2023-09-06",73
"2023-09-07",72
"2023-09-08",76
"2023-09-09",79
"2023-09-10",80
"2023-09-11",77
"2023-09-12",74
"2023-09-13",71
"2023-09-14",71
"2023-09-15",71
"2023-09-16",70
"2023-09-17",70
"2023-09-18",71
"2023-09-19",69
"2023-09-20",71
"2023-09-21",68
"2023-09-22",67
"2023-09-23",69
"2023-09-24",70
"2023-09-25",67
"2023-09-26",68
"2023-09-27",69
"2023-09-28",69
"2023-09-29",68
"2023-09-30",68
"2023-10-01",65
"2023-10-02",64
"2023-10-03",68
"2023-10-04",74
"2023-10-05",76
"2023-10-06",75
"2023-10-07",73
"2023-10-08",72
"2023-10-09",68
"2023-10-10",67
"2023-10-11",69
"2023-10-12",69
"2023-10-13",69
"2023-10-14",69
"2023-10-15",71
"2023-10-16",70
"2023-10-17",70
"2023-10-18",70
"2023-10-19",70
"2023-10-20",73
"2023-10-21",73
"2023-10-22",68
"2023-10-23",69
"2023-10-24",67
"2023-10-25",69
"2023-10-26",69
"2023-10-27",66
"2023-10-28",65
