X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
6481985.12350769,1798605.05332911,2003,211,,Education,Early Childhood Education and Head Start,,NULL,Kedren Community Health Center - Head Start / State Preschool,710 E. 111th Pl.,,Los Angeles,CA,"SITE HOURS: Monday through Friday, 8:30am to 7:30pm. ","FAX (323) 905-1145,  Service/Intake (323) 299-9742,  Service/Intake (323) 777-1411",,,,2150,The agency provides early childhood education as a Head Start Grantee/Delegate agency for people who meet income and geographic requirements.,90059,http://egis3.lacounty.gov/lms/?p=2150,publish,33.934383,-118.262694,2015/03/11 12:21:36+00,,,6481985.12350763,1798605.05332907
6484688.76541011,1841427.3476056,2189,211,,Education,Early Childhood Education and Head Start,,www.ymcala.org/ket,YMCA Stuart M. Ketchum Downtown,401 S. Hope St.,,Los Angeles,CA,"Monday through Thursday, 5:30am to 11:00pm; Friday, 5:30am to 9:00pm; Saturday, 8:00am to 6:00pm; and Sunday, 10:00am to 6:00pm. ","Preschool Program Service/Intake (213) 487-6592,  FAX (213) 627-8151,  Service/Intake (213) 624-2348",www.ymcala.org/ket,,,2474,"The Ketchum-Downtown YMCA provides child care, recreational programs including health and fitness, and youth services at this and three satellite sites in downtown Los Angeles.",90071,http://egis3.lacounty.gov/lms/?p=2474,publish,34.052071,-118.254138,2015/03/11 12:29:12+00,,,6484688.76541005,1841427.34760556
6433821.74083203,1924889.18593094,2567,211,,Education,Early Childhood Education and Head Start,,main.vaughncharter.com/,Vaughn Next Century Learning Center,13330 Vaughn St.,,San Fernando,CA,,"Service/Intake (818) 896-7461,  FAX (818) 834-9036",main.vaughncharter.com/,,,2807,"The school provides a school readiness program for children, ages 0 to 5.",91340,http://egis3.lacounty.gov/lms/?p=2807,publish,34.280941,-118.423223,2015/03/11 12:25:41+00,,,6433821.74083197,1924889.18593089
6576447.89652403,1873190.7151811,2736,211,,Education,Early Childhood Education and Head Start,,www.maryvale-ca.org,"Maryvale Infant, Preschool And Kindergarten Educational Center - Duarte",2500 E. Huntington Dr.,,Duarte,CA,,Service/Intake (626) 357-1514,,,,2950,The center provides comprehensive child care services for children age nine months to six years.,91010,http://egis3.lacounty.gov/lms/?p=2950,publish,34.13961,-117.951164,2015/03/11 12:34:26+00,,,6576447.89652397,1873190.71518107
6502936.46349469,1751599.86289085,2747,211,,Education,Early Childhood Education and Head Start,,www.yhcc-lb.com,Young Horizons - Ludloff Center,2650 Pacific Ave.,,Long Beach,CA,,"Service/Intake (562) 988-5799,  FAX (562) 984-3803",www.yhcc-lb.com,,,2962,The agency provides early childhood education services to low-income families who live or work in the City of Long Beach.,90806,http://egis3.lacounty.gov/lms/?p=2962,publish,33.805352,-118.193327,2015/03/11 12:30:01+00,,,6502936.46349464,1751599.86289081
6416329.37817903,1823386.09300578,2761,211,,Education,Early Childhood Education and Head Start,,www.smmusd.org,Santa Monica - Malibu Unified School District - Child Development Services,2802 Fourth St.,,Santa Monica,CA,,Child Development Services Service/Intake and Administration (310) 399-5865,www.smmusd.org,,,2970,The district administers early childhood education and K-12 education for children in the Santa Monica-Malibu area.,90405,http://egis3.lacounty.gov/lms/?p=2970,publish,34.001811,-118.479525,2015/03/11 11:18:38+00,,,6416329.37817897,1823386.09300573
6483746.03862102,1842907.38696836,2823,211,,Education,Early Childhood Education and Head Start,,NULL,Los Angeles Unified School District - Early Childhood Education,333 S Beaudry Ave,,Los Angeles,CA,,"ECE Division Service/Intake (213) 241-7511,  FAX (213) 241-8932",NULL,,,3026,This is the administrative office for 100 early education centers located throughout the Los Angeles Unified School District.,90017,http://egis3.lacounty.gov/lms/?p=3026,publish,34.05613134,-118.2572627,2015/03/11 11:26:23+00,,,6483746.03862096,1842907.38696831
6518442.84029028,1878844.02244402,2862,211,,Education,Early Childhood Education and Head Start,,NULL,Community Development Institute - San Gabriel Valley Head Start - Villa Parke,363 E. Villa St.,,Pasadena,CA,,Service/Intake (626) 844-7364,NULL,,,3061,The agency provides early education Head Start services in the San Gabriel Valley area.,91101,http://egis3.lacounty.gov/lms/?p=3061,publish,34.15507,-118.142882,2015/03/11 12:38:58+00,,,6518442.84029022,1878844.02244398
6477369.0379236,1828776.73806435,2868,211,,Education,Early Childhood Education and Head Start,,www.childrenscollective.org,Children's Collective Inc - Family Source Center,3655 S Grand Ave,,Los Angeles,CA,,"Car seat program - Fernando Reyes Service/Intake (213) 747-4046 Ext.220,  Service/Intake (213) 747-4046,  FAX (213) 747-4604",www.childrenscollective.org,,,3064,"The agency provides child care, education services, family support services and services for people with developmental disabilities in the South Central Los Angeles area.",90007,http://egis3.lacounty.gov/lms/?p=3064,publish,34.01725578,-118.2781868,2015/03/11 11:21:58+00,,,6477369.03792356,1828776.7380643
6473120.09202519,1850728.56227085,2885,211,,Education,Early Childhood Education and Head Start,,,Children's Bureau - Oakwood Family Center,3910 Oakwood Ave.,,Los Angeles,CA,"Monday through Friday, 8:30am to 5:00pm","Service/Intake (323) 953-7356,  FAX (323) 661-7306",www.all4kids.org,,,3077,"The agency provides child abuse services, early childhood education, family life education, foster care services, mental health services and a school readiness program for children 0 to 5.  Age restrictions apply.  The school readiness program is restricted to childen who live in zip code 90004; there are geographic restrictions for other programs.",90004,http://egis3.lacounty.gov/lms/?p=3077,publish,34.07754294,-118.2924186,2015/03/11 11:42:08+00,,,6473120.09202513,1850728.56227081
6505337.15259095,1739907.41317868,2957,211,,Education,Early Childhood Education and Head Start,,www.yhcc-lb.com,Young Horizons Child Development Centers,501 Atlantic Ave.,,Long Beach,CA,,"FAX (562) 436-8847, Main Office Service/Intake and Administration (562) 437-8991",www.yhcc-lb.com,,,3134,The agency provides early childhood education services to low-income families who live or work in the City of Long Beach.,90802,http://egis3.lacounty.gov/lms/?p=3134,publish,33.773236,-118.185354,2015/03/11 11:47:21+00,,,6505337.15259089,1739907.41317864
6502745.15843111,1739834.78569926,2967,211,,Education,Early Childhood Education and Head Start,,www.yhcc-lb.com,Young Horizons - South Pacific State Preschool,507 Pacific Ave.,,Long Beach,CA,,"Service/Intake (562) 437-8367, Main Office Service/Intake and Administration (562) 437-8991",www.yhcc-lb.com,,,3138,The agency provides early childhood education services to low-income families who live or work in the City of Long Beach.,90802,http://egis3.lacounty.gov/lms/?p=3138,publish,33.773023,-118.193882,2015/03/11 12:22:29+00,,,6502745.15843105,1739834.78569923
6521464.98582077,1878898.46787319,2994,211,,Education,Early Childhood Education and Head Start,,NULL,Community Development Institute - San Gabriel Valley Head Start - Covenant,539 N. Lake Ave.,,Pasadena,CA,,Service/Intake (626) 792-9791,NULL,,,3161,The agency provides early education Head Start services in the San Gabriel Valley area.,91101,http://egis3.lacounty.gov/lms/?p=3161,publish,34.155231,-118.132893,2015/03/11 12:30:45+00,,,6521464.98582073,1878898.46787314
6488304.73422803,1878881.41607001,3032,211,,Education,Early Childhood Education and Head Start,,NULL,Community Development Institute - San Gabriel Valley Head Start - Glendale Ave.,610 Glendale Ave.,,Glendale,CA,,Service/Intake (818) 502-0628,NULL,,,3188,The agency provides early education Head Start services in the San Gabriel Valley area.,91206,http://egis3.lacounty.gov/lms/?p=3188,publish,34.155014,-118.242499,2015/03/11 12:26:32+00,,,6488304.73422797,1878881.41606998
6505696.38612445,1748528.9507256,3044,211,,Education,Early Childhood Education and Head Start,,www.ccdlb.org,Comprehensive Child Development - Long Beach Center For Child Development,622 E. Hill St.,,Long Beach,CA,,Service/Intake (562) 599-0633,www.ccdlb.org,,,3202,The center provides child care and a State Preschool for income-eligible families.,90806,http://egis3.lacounty.gov/lms/?p=3202,publish,33.796928,-118.184224,2015/03/11 12:27:32+00,,,6505696.38612439,1748528.95072556
6487323.98192444,1877802.59375261,3086,211,,Education,Early Childhood Education and Head Start,,NULL,Community Development Institute - San Gabriel Valley Head Start - Lexington Ave.,735 E. Lexington Dr.,,Glendale,CA,,Service/Intake (818) 409-9242,NULL,,,3237,The agency provides early education Head Start services in the San Gabriel Valley area.,91206,http://egis3.lacounty.gov/lms/?p=3237,publish,34.152043,-118.245732,2015/03/11 12:31:44+00,,,6487323.98192438,1877802.59375256
6530265.52136928,1842493.30380702,3091,211,,Education,Early Childhood Education and Head Start,,www.maryvale-ca.org,"Maryvale Infant, Preschool And Kindergarten Educational Center",7600 E. Graves Ave.,,Rosemead,CA,,"or  Ext. 313 Service/Intake (626) 280-6510 Ext.311,  FAX (626) 288-8903",,,,3242,The center provides comprehensive child care services for children age nine months to six years.,91770,http://egis3.lacounty.gov/lms/?p=3242,publish,34.055223,-118.10368,2015/03/11 11:23:21+00,,,6530265.52136922,1842493.30380698
6510904.47905469,1889010.82232036,3122,211,,Education,Early Childhood Education and Head Start,,NULL,Community Development Institute - San Gabriel Valley Head Start - Arroyo,836 W. Woodbury Rd.,,Altadena,CA,,Service/Intake (626) 296-0956,NULL,,,3266,The agency provides early education Head Start services in the San Gabriel Valley area.,91001,http://egis3.lacounty.gov/lms/?p=3266,publish,34.182975,-118.167855,2015/03/11 12:36:42+00,,,6510904.47905463,1889010.82232031
6524312.67730387,1853467.21427386,27401,HSIP Freedom Head Start,,Education,Early Childhood Education and Head Start,,LA County,Alhambra,919 S. Garfield,,,CA,,(818) 457-8477,,,,29849,,,http://egis3.lacounty.gov/lms/?p=29849,publish,34.08535931,-118.1233772,2015/03/11 11:17:43+00,,,6524312.67730381,1853467.21427381
6511794.82996428,1837934.13379152,27402,HSIP Freedom Head Start,,Education,Early Childhood Education and Head Start,,LA County,Azteca Dangler,522 N. Dangler,,,CA,,(323) 780-3770,,,,29850,,,http://egis3.lacounty.gov/lms/?p=29850,publish,34.04262731,-118.1646345,2015/03/11 11:25:26+00,,,6511794.82996422,1837934.13379148
6520559.67004611,1834703.2153846,27403,HSIP Freedom Head Start,,Education,Early Childhood Education and Head Start,,LA County,Bella Vista,337 W. Pomona Blvd.,,,CA,,(323) 725-7075,,,,29851,,,http://egis3.lacounty.gov/lms/?p=29851,publish,34.03378519,-118.1356882,2015/03/11 11:43:24+00,,,6520559.67004605,1834703.21538456
6481218.59945019,1846866.05031085,27404,HSIP Freedom Head Start,,Education,Early Childhood Education and Head Start,,LA County,Burlington Nursery School,242-250 N. Burlington Ave.,,,CA,,(818) 575-6603,,,,29852,,,http://egis3.lacounty.gov/lms/?p=29852,publish,34.0669911,-118.2656414,2015/03/11 11:48:30+00,,,6481218.59945014,1846866.05031081
6510554.67430811,1829443.21343744,27405,HSIP Freedom Head Start,,Education,Early Childhood Education and Head Start,,LA County,Centro Aztlan,1120 S. Mcdonnell Ave.,,,CA,,(323) 266-4605,,,,29853,,,http://egis3.lacounty.gov/lms/?p=29853,publish,34.01928985,-118.1686811,2015/03/11 12:23:43+00,,,6510554.67430805,1829443.21343739
6503907.68366511,1842326.21096535,27406,HSIP Freedom Head Start,,Education,Early Childhood Education and Head Start,,LA County,City Terrace,3260 Marengo Street,,,CA,,(323) 264-1731,,,,29854,,,http://egis3.lacounty.gov/lms/?p=29854,publish,34.0546578,-118.1906967,2015/03/11 16:50:14+00,,,6503907.68366505,1842326.21096531
6511224.44987144,1824236.02536102,27407,HSIP Freedom Head Start,,Education,Early Childhood Education and Head Start,,LA County,Commerce,5102 Kinsie Street,,Alhambra,CA,,(323) 264-3468,,,,29855,,91801-4442,http://egis3.lacounty.gov/lms/?p=29855,publish,34.00498434,-118.1664424,2015/03/11 12:33:20+00,,,6511224.44987139,1824236.02536097
6502120.67083494,1849696.21197335,27408,HSIP Freedom Head Start,,Education,Early Childhood Education and Head Start,,LA County,Crittenton Village Learning Center,4001 N. Mission Road,,Los Angeles,CA,,(323) 981-3350,,,,29856,,90022-1218,http://egis3.lacounty.gov/lms/?p=29856,publish,34.07490005,-118.1966439,2015/03/11 12:28:19+00,,,6502120.67083488,1849696.21197331
6506958.68806177,1833240.21338935,27409,HSIP Freedom Head Start,,Education,Early Childhood Education and Head Start,,LA County,Downey Road Center,475 S. Downey Road,,Monterey Park,CA,,(323) 263-6642,,,,29857,,91754-7121,http://egis3.lacounty.gov/lms/?p=29857,publish,34.02970628,-118.1805703,2015/03/11 11:16:34+00,,,6506958.68806171,1833240.21338931
6516661.52462719,1836784.97139169,27410,HSIP Freedom Head Start,,Education,Early Childhood Education and Head Start,,LA County,East Los Angeles College,1301 Avenida Cesar Chavez B,,Los Angeles,CA,,(323) 265-8789,,,,29858,,90026-5420,http://egis3.lacounty.gov/lms/?p=29858,publish,34.03949041,-118.1485644,2015/03/11 11:24:41+00,,,6516661.52462713,1836784.97139165
